case_id,method,source,component_label,component_rank_by_volume,volume_vox,enh_max,enh_mean,candidate_policy,n_metric_components_in_mask,ph_error,ph_h0_max_persistence,ph_h0_second_persistence,ph_h0_n_ge_0_10,ph_h1_max_persistence,ph_h2_max_persistence,ph_downsample_step,ph_crop_voxels,ph_runtime_s
BraTS-GLI-00046-100,sustraccion,prediction_component,234,98,49,1.0,0.4970921576023102,top5_volume_union_top5_enh,240,,1.0,0.025166571140289307,1,0.0,0.0,1,1080,0.004565599840134382
BraTS-GLI-00046-100,sustraccion,prediction_component,233,20,298,1.0,0.28649649024009705,top5_volume_union_top5_enh,240,,1.0,0.45189329981803894,3,0.07605701684951782,0.0,1,3289,0.013372200075536966
BraTS-GLI-00046-100,sustraccion,prediction_component,236,99,48,1.0,0.6023932099342346,top5_volume_union_top5_enh,240,,1.0,0.3087097406387329,2,0.0,0.0,1,1800,0.007129200268536806
BraTS-GLI-00046-100,sustraccion,prediction_component,213,72,76,1.0,0.48710542917251587,top5_volume_union_top5_enh,240,,1.0,0.37737178802490234,4,0.1352696418762207,0.0,1,3136,0.012190900277346373
BraTS-GLI-00046-100,sustraccion,prediction_component,155,60,95,1.0,0.5296458601951599,top5_volume_union_top5_enh,240,,1.0,0.15378963947296143,3,0.027461707592010498,0.0,1,2704,0.011098199989646673
BraTS-GLI-00046-100,gmm_2d,prediction_component,1,1,452950,1.0,0.04948898404836655,top5_volume_union_top5_enh,35,,1.0,0.971243679523468,402,0.23864219710230827,0.058903541415929794,3,128968,0.6610535997897387
BraTS-GLI-00046-100,gmm_2d,prediction_component,27,2,979,0.4199800193309784,0.01539543829858303,top5_volume_union_top5_enh,35,,0.4199800193309784,0.3968324363231659,9,0.01739446260035038,0.0,1,14400,0.06412320025265217
BraTS-GLI-00046-100,gmm_2d,prediction_component,19,3,664,0.535790205001831,0.0532122403383255,top5_volume_union_top5_enh,35,,0.535790205001831,0.4965915195643902,4,0.026857933029532433,0.0,1,5888,0.024408599827438593
BraTS-GLI-00046-100,gmm_2d,prediction_component,4,4,547,0.5703913569450378,0.033434655517339706,top5_volume_union_top5_enh,35,,0.5703913569450378,0.23838964104652405,6,0.018019608920440078,0.0,1,10400,0.0455081001855433
BraTS-GLI-00046-100,gmm_2d,prediction_component,16,5,522,0.3839375972747803,0.016116509214043617,top5_volume_union_top5_enh,35,,0.3839375972747803,0.08908204734325409,1,0.0,0.0,1,5168,0.022226700093597174
BraTS-GLI-00046-100,gmm_2d,prediction_component,8,7,370,0.8336560726165771,0.03282647952437401,top5_volume_union_top5_enh,35,,0.8336560726165771,0.4513704087585211,3,0.0,0.0,1,4410,0.019154800102114677
BraTS-GLI-00046-100,gmm_2d,prediction_component,26,25,25,0.7776933312416077,0.10927627235651016,top5_volume_union_top5_enh,35,,0.7776933312416077,0.3195148706436157,2,0.0,0.0,1,729,0.0031103999353945255
BraTS-GLI-00046-100,gmm_2d,prediction_component,17,13,104,0.5995478630065918,0.014956371858716011,top5_volume_union_top5_enh,35,,0.5995478630065918,0.0,1,0.0,0.0,1,1400,0.005584999918937683
BraTS-GLI-00046-100,variational_spline,prediction_component,1,1,11199,1.0,0.34449172019958496,top5_volume_union_top5_enh,1,,1.0,0.7102235555648804,41,0.3118085265159607,0.005218237638473511,2,92684,0.4507649000734091
BraTS-GLI-00543-101,otsu_T1c,absent_fp_component,1,1,13935,1.0,0.43656808137893677,top5_volume_union_top5_enh,1,,0.9829751253128052,0.5510539412498474,54,0.5344672799110413,0.024496763944625854,2,142506,0.7638718001544476
